ID,name,crop,system,gaez_name,gaez_code,gaez_crop,gaez_input,gaez_system,suit_variable,prod_variable
3,Maize,maiz,H,"maize, grain",mze,maize,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
4,Barley,barl,H,barley,brl,barley,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
,Millit,mill,H,millet,mil,millet,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
7,Sorghum,sorg,H,sorghum,srg,sorghum,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
8,Other Cereals,ocer,H,oat,oat,oat,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
9,Potato,pota,H,white potato,wpo,whitepotato,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
10,Sweet Potato,swpo,H,sweet potato,spo,sweetpotato,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
11,Yams,yams,H,yam,yam,yamandcocoyam,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
12,Cassava,cass,H,cassava,csv,cassava,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
13,Other Roots,orts,H,yam,yam,yamandcocoyam,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
14,Bean,bean,H,phas. Beans,phb,phaseolusbean,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
15,Chickpea,chic,H,chickpea,chk,chickpea,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
16,Cowpea,cowp,H,cowpea,cow,cowpea,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
17,Pigeon Pea,pige,H,pigeonpea,pig,pigeonpea,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
18,Lentil,lent,H,chickpea,chk,chickpea,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
19,Other Pulses,opul,H,chickpea,chk,chickpea,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
20,Soybean,soyb,H,soybean,soy,soybean,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
21,Groundnut,grou,H,groundnut,grd,groundnut,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
22,Coconut,cnut,H,coconut,con,coconut,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
23,Oilpalm,oilp,H,oil palm,olp,oilpalm,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
24,Sunflower,sunf,H,sunflower,sfl,sunflower,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
25,Rapeseed,rape,H,rapeseed,rsd,rapeseed,high,rainfed,cropsuitabilityindexvalue,totalproductioncapacity
